x,y,z,cluster
14.6078,4.62708,-0.514412,-2
15.9099,-0.58665,-0.535908,-2
16.3613,-0.703857,-0.552299,-2
8.11351,8.00767,-0.51461,-2
8.1725,7.9675,-0.515286,-2
8.18814,7.88533,-0.513063,-2
8.22769,7.82668,-0.512483,-2
8.25663,7.75826,-0.511227,-2
8.30115,7.70474,-0.511034,-2
8.33281,7.63948,-0.510019,-2
8.44678,7.5553,-0.511372,-2
8.51842,7.52581,-0.513015,-2
8.64569,7.45136,-0.515286,-2
8.69581,7.40206,-0.515576,-2
8.77547,7.37749,-0.517751,-2
8.82057,7.32351,-0.517751,-2
8.92867,7.32119,-0.521714,-2
9.00214,7.28952,-0.523502,-2
9.10131,7.27782,-0.526885,-2
9.26023,7.31222,-0.53394,-2
9.38762,7.31976,-0.539015,-2
9.4292,7.25959,-0.538822,-2
9.51252,7.23122,-0.54119,-2
9.60464,7.20869,-0.544089,-2
9.70246,7.18947,-0.547327,-2
9.80201,7.1705,-0.550662,-2
9.89197,7.14356,-0.553416,-2
10.0389,7.15637,-0.559554,-2
10.1357,7.132,-0.562695,-2
10.2572,7.12381,-0.567286,-2
10.3543,7.09745,-0.570427,-2
10.4531,7.07129,-0.573665,-2
15.8517,10.5828,-0.885228,-2
15.8971,10.4727,-0.884116,-2
15.9765,10.2461,-0.881362,-2
13.052,8.25774,-0.710333,-2
13.1431,8.20289,-0.712653,-2
13.2272,8.14304,-0.714586,-2
15.9158,9.26768,-0.854154,-2
15.9212,9.1405,-0.851303,-2
11.3058,2.60669,-0.52442,-2
11.5029,2.28297,-0.530461,-2
11.4294,2.19557,-0.52616,-2
11.4564,2.12796,-0.526836,-2
11.5833,2.07809,-0.532442,-2
11.5732,2.00306,-0.531331,-2
11.4896,1.77142,-0.525532,-2
11.7446,1.5167,-0.536019,-2
11.6395,1.28577,-0.529639,-2
11.7177,1.22169,-0.533071,-2
11.5758,0.421409,-0.523502,-2
11.6129,-0.933282,-0.52674,-2
11.5711,-1.00142,-0.525,-2
10.9291,-3.76508,-0.522342,-2
2.62415,9.94806,-0.583118,-2
2.67854,9.44576,-0.554775,-2
2.70556,9.32274,-0.548095,-2
2.78323,9.16849,-0.540513,-2
10.2278,10.8708,-0.862703,-2
10.242,10.7529,-0.858129,-2
10.2995,10.6813,-0.857407,-2
8.28465,7.98184,-0.656414,-2
8.30816,7.90677,-0.654308,-2
8.3267,7.82761,-0.651841,-2
8.34824,7.75192,-0.649674,-2
8.37211,7.67896,-0.647749,-2
8.40945,7.61873,-0.646966,-2
8.4724,7.58164,-0.64829,-2
