x,y,z,cluster
14.6078,4.62708,-0.514412,-1
15.9099,-0.58665,-0.535908,-1
16.3613,-0.703857,-0.552299,-1
8.11351,8.00767,-0.51461,-1
8.1725,7.9675,-0.515286,-1
8.18814,7.88533,-0.513063,-1
8.22769,7.82668,-0.512483,-1
8.25663,7.75826,-0.511227,-1
8.30115,7.70474,-0.511034,-1
8.33281,7.63948,-0.510019,-1
8.44678,7.5553,-0.511372,-1
8.51842,7.52581,-0.513015,-1
8.64569,7.45136,-0.515286,-1
8.69581,7.40206,-0.515576,-1
8.77547,7.37749,-0.517751,-1
8.82057,7.32351,-0.517751,-1
8.92867,7.32119,-0.521714,-1
9.00214,7.28952,-0.523502,-1
9.10131,7.27782,-0.526885,-1
9.26023,7.31222,-0.53394,-1
9.38762,7.31976,-0.539015,-1
9.4292,7.25959,-0.538822,-1
9.51252,7.23122,-0.54119,-1
9.60464,7.20869,-0.544089,-1
9.70246,7.18947,-0.547327,-1
9.80201,7.1705,-0.550662,-1
9.89197,7.14356,-0.553416,-1
10.0389,7.15637,-0.559554,-1
10.1357,7.132,-0.562695,-1
10.2572,7.12381,-0.567286,-1
10.3543,7.09745,-0.570427,-1
10.4531,7.07129,-0.573665,-1
15.8517,10.5828,-0.885228,-1
15.8971,10.4727,-0.884116,-1
15.9765,10.2461,-0.881362,-1
13.052,8.25774,-0.710333,-1
13.1431,8.20289,-0.712653,-1
13.2272,8.14304,-0.714586,-1
15.9158,9.26768,-0.854154,-1
15.9212,9.1405,-0.851303,-1
11.3058,2.60669,-0.52442,-1
11.5029,2.28297,-0.530461,-1
11.4294,2.19557,-0.52616,-1
11.4564,2.12796,-0.526836,-1
11.5833,2.07809,-0.532442,-1
11.5732,2.00306,-0.531331,-1
11.4896,1.77142,-0.525532,-1
11.7446,1.5167,-0.536019,-1
11.6395,1.28577,-0.529639,-1
11.7177,1.22169,-0.533071,-1
11.5758,0.421409,-0.523502,-1
11.6129,-0.933282,-0.52674,-1
11.5711,-1.00142,-0.525,-1
10.9291,-3.76508,-0.522342,-1
