x,y,z,cluster
5.57018,19.2046,-0.682496,-1
5.67455,19.125,-0.680807,-1
5.77555,19.0363,-0.678794,-1
5.88277,18.9699,-0.677643,-1
5.97189,18.8477,-0.674408,-1
6.08035,18.7889,-0.673581,-1
6.22806,18.4685,-0.664307,-1
6.34257,18.4338,-0.664451,-1
6.45059,18.3804,-0.663912,-1
6.56763,18.3527,-0.664379,-1
6.67087,18.2867,-0.663409,-1
6.76971,18.2098,-0.662043,-1
6.853,18.0931,-0.659167,-1
6.93079,17.965,-0.65586,-1
7.02152,17.8728,-0.653955,-1
7.11139,17.7802,-0.65205,-1
7.21621,17.7261,-0.651654,-1
7.31604,17.6602,-0.650828,-1
7.40446,17.568,-0.648994,-1
7.48101,17.4497,-0.646155,-1
7.58035,17.3861,-0.645472,-1
7.68851,17.3429,-0.645615,-1
7.80011,17.3072,-0.646083,-1
7.90616,17.259,-0.646083,-1
7.99293,17.1694,-0.644465,-1
8.05796,17.0352,-0.641086,-1
8.18441,17.0313,-0.642919,-1
8.20941,16.8182,-0.636413,-1
8.27872,16.6995,-0.633681,-1
8.33115,16.5493,-0.629691,-1
8.43936,16.5112,-0.630231,-1
8.54327,16.4645,-0.630446,-1
8.85092,16.8043,-0.646406,-1
8.98684,16.8114,-0.648922,-1
8.62043,15.8907,-0.613516,-1
8.98909,16.3304,-0.633753,-1
9.12226,16.3342,-0.636198,-1
9.00555,15.8954,-0.620381,-1
9.11935,15.8684,-0.621568,-1
9.21403,15.8079,-0.621388,-1
9.30932,15.7484,-0.62128,-1
9.72641,16.2259,-0.64371,-1
9.79672,16.1181,-0.641697,-1
9.87341,16.0219,-0.640188,-1
9.92335,15.8839,-0.636916,-1
9.89283,15.6209,-0.628325,-1
9.98633,15.5566,-0.628182,-1
10.1116,15.5411,-0.630159,-1
10.2023,15.4721,-0.629871,-1
10.2838,15.3892,-0.629008,-1
10.5041,15.512,-0.637096,-1
10.6053,15.4564,-0.637492,-1
10.1956,14.6656,-0.605715,-1
10.3073,14.6339,-0.607081,-1
10.69,14.9811,-0.625234,-1
10.7618,14.8877,-0.624012,-1
10.8766,14.8537,-0.62545,-1
11.1473,15.029,-0.636305,-1
11.1139,14.7934,-0.628793,-1
11.1131,14.6048,-0.623365,-1
11.2604,14.6116,-0.62678,-1
11.3136,14.4957,-0.624659,-1
11.3614,14.3743,-0.622286,-1
11.4313,14.2817,-0.621244,-1
11.4923,14.1786,-0.619734,-1
11.463,13.9665,-0.613156,-1
11.7076,14.0873,-0.622107,-1
10.9714,13.038,-0.576168,-1
11.9074,13.9752,-0.623652,-1
11.9336,13.8331,-0.620381,-1
12.0366,13.7807,-0.621388,-1
12.1918,13.7866,-0.625234,-1
11.9615,13.3602,-0.608267,-1
12.2728,13.5397,-0.620561,-1
12.3793,13.4899,-0.621819,-1
12.4931,13.4474,-0.623473,-1
11.9482,12.7037,-0.590546,-1
12.0142,12.6178,-0.589935,-1
11.916,12.3619,-0.580841,-1
12.6672,12.9809,-0.615636,-1
12.8386,12.996,-0.620345,-1
12.8291,12.828,-0.615816,-1
13.0626,12.9021,-0.623652,-1
12.2194,11.9221,-0.577318,-1
13.1897,12.7117,-0.622143,-1
13.3854,12.7428,-0.628002,-1
13.3163,12.5222,-0.620741,-1
13.1073,12.175,-0.606722,-1
13.3725,12.2693,-0.616032,-1
13.5179,12.2508,-0.619447,-1
13.464,12.0523,-0.613228,-1
13.6762,12.0919,-0.619878,-1
13.4129,11.7133,-0.603774,-1
13.5269,11.6673,-0.605787,-1
13.9923,11.9198,-0.624407,-1
13.7677,11.5835,-0.610424,-1
13.7808,11.4509,-0.607728,-1
14.1297,11.5949,-0.620705,-1
14.1222,11.4445,-0.617074,-1
14.253,11.4063,-0.619878,-1
13.7511,10.8669,-0.593673,-1
14.4999,11.3148,-0.624803,-1
